driver_id,seed,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,19.35741245354071,34.75,12.75,6.131806827643629,1,3,20,20,13,5,0.4999114959513223,2.75539606456014,22.0
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,time_only_baseline,0,-6.618193172356371,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.50797476402026,3.925890518689045,0.0
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,feasible_count_baseline,0,13.0,9.877900257248314,6.618193172356371,28.13180682764363,34.75,22.0,15.38180682764363,2,3,20,20,13,5,0.50797476402026,3.925890518689045,12.75
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,walk_aware_rendezvous,0,23.99871273080342,9.877900257248314,6.618193172356371,23.99871273080342,34.75,8.75,2.1318068276436293,1,3,20,20,13,5,0.4999114959513223,2.75539606456014,26.0
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,rendezvous_only,0,28.13180682764363,9.877900257248314,6.618193172356371,28.13180682764363,34.75,22.0,15.38180682764363,2,3,20,20,13,5,0.50797476402026,3.925890518689045,12.75
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,rendezvous_observable,0,19.45158921920569,9.877900257248314,6.618193172356371,19.45158921920569,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.5088807117289397,3.8941225552460828,0.0
0,42,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,ml_meeting_point_comparator,0,22.292859781645802,9.877900257248314,6.618193172356371,22.292859781645802,34.75,22.0,15.38180682764363,2,3,20,20,13,5,0.5088807117289397,3.8941225552460828,12.75
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,19.35741245354071,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.4999114959513223,2.75539606456014,0.0
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,time_only_baseline,0,-6.618193172356371,9.877900257248314,6.618193172356371,28.13180682764363,34.75,8.75,2.1318068276436293,1,3,20,20,13,5,0.50797476402026,3.925890518689045,26.0
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,feasible_count_baseline,0,13.0,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.50797476402026,3.925890518689045,0.0
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,walk_aware_rendezvous,0,23.99871273080342,9.877900257248314,6.618193172356371,23.99871273080342,34.75,26.0,19.38180682764363,2,3,20,20,13,5,0.4999114959513223,2.75539606456014,8.75
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,rendezvous_only,0,28.13180682764363,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.50797476402026,3.925890518689045,0.0
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,rendezvous_observable,0,19.45158921920569,9.877900257248314,6.618193172356371,19.45158921920569,34.75,21.5,14.88180682764363,2,3,20,20,13,5,0.5088807117289397,3.8941225552460828,13.25
0,43,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,ml_meeting_point_comparator,0,22.292859781645802,9.877900257248314,6.618193172356371,22.292859781645802,34.75,22.0,15.38180682764363,2,3,20,20,13,5,0.5088807117289397,3.8941225552460828,12.75
0,44,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,False,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,19.35741245354071,34.75,34.75,28.13180682764363,3,3,20,20,13,5,0.4999114959513223,2.75539606456014,0.0
